# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
   -0.64481995   -0.21170193   -0.60529041    0.00000002   11.97363080    0.48871106   -0.50000000    0.17223505
    0.64481994   -0.12242150    0.61927213    0.00000001   11.65046670   -0.49999989    0.50000000    0.09959887
    0.64481993    0.21312275   -0.61275675    0.00000003   11.97989280    0.49473938    0.49999998   -0.17339099
   -0.63950677    0.00000054    0.61927217    0.00000003   11.44731165   -0.49999992   -0.49588011   -0.00000044
   -0.64481992   -0.16057516    0.60256718    0.00000002   11.77928227   -0.48651232   -0.49999998    0.13063967
    0.64481994   -0.20728534   -0.59406445    0.00000003   11.95440800    0.47964722    0.49999999    0.16864183
    0.64481994   -0.15961099    0.61926654    0.00000002   11.77692721   -0.49999538    0.49999999    0.12985525
    0.64481975    0.02043322    0.61927218    0.00000002   11.45334248   -0.49999993    0.49999985   -0.01662393
   -0.00000036   -0.27582289   -0.40734590    0.00000086   11.58864008    0.32889079   -0.00000028    0.22440215
   -0.00000021   -0.21519587   -0.33717843    0.00000046   11.32123566    0.27223763   -0.00000016    0.17507763
   -0.00000023   -0.22046906   -0.34433468    0.00000049   11.34603916    0.27801558   -0.00000018    0.17936776
    0.00000001   -0.42337881   -0.49465384    0.00000002   12.05387849    0.39938317    0.00000001    0.34444972
   -0.00000009   -0.09487040    0.61927227    0.00000003   11.63044074   -0.50000000   -0.00000007    0.07718403
    0.00000002   -0.44408646    0.61927224    0.00000003   12.23391206   -0.49999997    0.00000001    0.36129691
    0.07945903   -0.00000029   -0.61927227    0.00000002   11.55279029    0.50000000    0.06161335    0.00000024
    0.32692710    0.16830406   -0.61927225    0.00000002   11.72528908    0.49999999    0.25350263   -0.13692770
   -0.64481994    0.19446284   -0.58015494    0.00000002   11.90094752    0.46841670   -0.50000000   -0.15820979
   -0.64481994    0.16852994   -0.58664200    0.00000002   11.80523816    0.47365434   -0.49999999   -0.13711147
    0.64481994    0.19076451   -0.57851555    0.00000001   11.88625110    0.46709305    0.50000000   -0.15520092
    0.64481990    0.17905220   -0.57868112    0.00000002   11.84199923    0.46722674    0.49999996   -0.14567210
    0.64481991    0.21149511   -0.60453511    0.00000002   11.97272321    0.48810123    0.49999997   -0.17206678
   -0.64481865   -0.00309052    0.61927226    0.00000002   11.44746743   -0.49999999   -0.49999899    0.00251437
    0.64481992   -0.20646679   -0.59261667    0.00000002   11.95088737    0.47847829    0.49999998    0.16797588
    0.64481994   -0.20911503   -0.59782617    0.00000002   11.96232672    0.48268443    0.49999999    0.17013041
   -0.64433622    0.00000604    0.61927223    0.00000001   11.44732950   -0.49999997   -0.49962491   -0.00000491
   -0.64481993   -0.20118381   -0.58550483    0.00000003   11.92850420    0.47273619   -0.49999999    0.16367779
    0.59996037   -0.00000004   -0.61927220    0.00000003   11.44608519    0.49999994    0.46521542    0.00000003
    0.64481982   -0.01197606   -0.61927225    0.00000001   11.44939750    0.49999999    0.49999990    0.00974341
   -0.64481992   -0.20079860   -0.58510314    0.00000003   11.92689637    0.47241187   -0.49999998    0.16336439
    0.64481992   -0.17110290   -0.58382335    0.00000002   11.81396797    0.47137856    0.49999998    0.13920476
    0.42338733   -0.22031154   -0.61927227    0.00000001   11.91124467    0.50000000    0.32829888    0.17923960
   -0.64481986   -0.02179128   -0.61927225    0.00000002   11.45416674    0.49999999   -0.49999993    0.01772881
   -0.00000180    0.45289379    0.50791521    0.00000031   12.12755357   -0.41009039   -0.00000140   -0.36846232
   -0.21702341    0.05976771   -0.61927216    0.00000046   11.52585422    0.49999991   -0.16828218   -0.04862541
    0.00000016   -0.07806289   -0.61927223    0.00000183   11.60974627    0.49999997    0.00000012    0.06350989
   -0.09689946   -0.00000013    0.61927227    0.00000002   11.54715585   -0.50000000   -0.07513684    0.00000011
    0.00000030   -0.04094808   -0.61927227    0.00000002   11.57751294    0.50000000    0.00000023    0.03331427
    0.00000014   -0.06799774    0.61927227    0.00000002   11.59912191   -0.50000000    0.00000011    0.05532115
    0.20274648    0.02249165   -0.61927225    0.00000002   11.50476525    0.49999998    0.15721170   -0.01829861
    0.26182507    0.11641106   -0.61927226    0.00000002   11.60067869    0.49999999    0.20302184   -0.09470894
    0.31523529    0.16032026   -0.61927225    0.00000002   11.70224135    0.49999999    0.24443668   -0.13043229
    0.30111426   -0.00000001   -0.61927227    0.00000003   11.45789359    0.50000000    0.23348708    0.00000000
    0.39397739    0.00000003   -0.61927225    0.00000001   11.43722420    0.49999998    0.30549411   -0.00000002
    0.62468351    0.00000014    0.61927222    0.00000002   11.44707259   -0.49999996    0.48438600   -0.00000012
   -0.64481629    0.00093612   -0.61927226    0.00000002   11.44734224    0.49999999   -0.49999716   -0.00076161
    0.64481991    0.17144340   -0.58350115    0.00000002   11.81513610    0.47111842    0.49999997   -0.13948178
   -0.64481989   -0.09576450    0.61927220    0.00000003   11.57473933   -0.49999995   -0.49999995    0.07791145
    0.61299266   -0.00000008    0.61927221    0.00000003   11.44669347   -0.49999995    0.47532080    0.00000007
   -0.64481992   -0.13456972   -0.61927190    0.00000003   11.68947676    0.49999971   -0.49999998    0.10948234
    0.57235299   -0.00000004   -0.61927227    0.00000002   11.44424242    0.50000000    0.44380838    0.00000003
   -0.64481982   -0.00081492    0.61927218    0.00000002   11.44733922   -0.49999993   -0.49999990    0.00066300
   -0.64067820   -0.00000079   -0.61927224    0.00000002   11.44731866    0.49999998   -0.49678845    0.00000064
    0.64481988    0.01897296    0.61927217    0.00000002   11.45251497   -0.49999992    0.49999994   -0.01543590
    0.64481912   -0.00490408   -0.61927226    0.00000002   11.44767656    0.49999999    0.49999936    0.00398983
   -0.37654812    0.19771020    0.61927223    0.00000019   11.82275889   -0.49999997   -0.29197927   -0.16085175
   -0.32823247    0.16916720    0.61927226    0.00000024   11.72786761   -0.49999999   -0.25451482   -0.13762992
   -0.28122419    0.13405564   -0.61927224    0.00000032   11.63649134    0.49999998   -0.21806412   -0.10906410
   -0.22285139   -0.06958531   -0.61927218    0.00000046   11.53485964    0.49999993   -0.17280125    0.05661276
   -0.20079061   -0.00953904   -0.61927214    0.00000051   11.50198276    0.49999990   -0.15569510    0.00776071
    0.00000019   -0.01720787    0.61927226    0.00000002   11.56724878   -0.49999999    0.00000015    0.01399986
   -0.00000024   -0.06847380    0.61927226    0.00000003   11.59959363   -0.49999999   -0.00000019    0.05570846
    0.20475027    0.03053197   -0.61927226    0.00000002   11.50764180    0.49999999    0.15876546   -0.02484000
    0.22291305    0.06968199   -0.61927225    0.00000002   11.53495605    0.49999998    0.17284906   -0.05669141
    0.24124770    0.09440461   -0.61927225    0.00000003   11.56476646    0.49999998    0.18706594   -0.07680507
    0.26935306   -0.00000012   -0.61927227    0.00000003   11.46986727    0.50000000    0.20885913    0.00000010
    0.35523786   -0.00000005   -0.61927226    0.00000003   11.44308054    0.49999999    0.27545508    0.00000004
    0.41719849   -0.00000001   -0.61927223    0.00000002   11.43553319    0.49999997    0.32349998    0.00000001
    0.42360642   -0.00000002   -0.61927223    0.00000003   11.43528600    0.49999997    0.32846876    0.00000001
