# Chirality              -1               1               1              -1
# k            phase           phase           phase           phase
      0.52125000       0.37576916       0.55421484       0.62999009       0.45154569
      0.52250000       0.37083289       0.55938713       0.63492480       0.44637185
      0.52375000       0.36593388       0.56453371       0.63982215       0.44122364
      0.52500000       0.36107328       0.56965316       0.64468100       0.43610247
      0.52625000       0.35625217       0.57474411       0.64950029       0.43100970
      0.52750000       0.35147154       0.57980527       0.65427899       0.42594664
      0.52875000       0.34673235       0.58483540       0.65901616       0.42091452
      0.53000000       0.34203548       0.58983333       0.66371094       0.41591452
      0.53125000       0.33738173       0.59479796       0.66836250       0.41094772
      0.53250000       0.33277185       0.59972825       0.67297010       0.40601519
      0.53375000       0.32820651       0.60462321       0.67753307       0.40111788
      0.53500000       0.32368634       0.60948195       0.68205079       0.39625671
      0.53625000       0.31921189       0.61430362       0.68652270       0.39143252
      0.53750000       0.31478364       0.61908744       0.69094831       0.38664609
      0.53875000       0.31040205       0.62383270       0.69532719       0.38189814
      0.54000000       0.30606747       0.62853874       0.69965896       0.37718931
      0.54125000       0.30178023       0.63320496       0.70394330       0.37252022
      0.54250000       0.29754061       0.63783084       0.70817994       0.36789138
      0.54375000       0.29334880       0.64241589       0.71236867       0.36330327
      0.54500000       0.28920498       0.64695971       0.71650933       0.35875632
      0.54625000       0.28510926       0.65146191       0.72060180       0.35425089
      0.54750000       0.28106172       0.65592220       0.72464600       0.34978729
      0.54875000       0.27706238       0.66034030       0.72864192       0.34536578
      0.55000000       0.27311122       0.66471601       0.73258956       0.34098659
      0.55125000       0.26920819       0.66904915       0.73648898       0.33664987
      0.55250000       0.26535321       0.67333961       0.74034028       0.33235574
      0.55375000       0.26154614       0.67758730       0.74414357       0.32810430
      0.55500000       0.25778682       0.68179219       0.74789903       0.32389558
